,epoch,train_loss,train_acc,val_loss,val_acc
0,1,1.0529456179020769,0.5737179487179487,1.4334261970737068,0.37349397590361444
1,2,0.7451584531089007,0.7211538461538461,1.2913619270274732,0.5481927710843374
2,3,0.6547470769639743,0.7243589743589743,0.4145547762603431,0.8493975903614458
3,4,0.6082981703645092,0.7564102564102564,0.4807932232745014,0.7409638554216867
4,5,0.48300302003399803,0.8108974358974359,0.4991211416796344,0.8132530120481928
5,6,0.5089159067404472,0.7884615384615384,0.5051648047062182,0.7891566265060241
6,7,0.4239621662487418,0.8108974358974359,0.2798243621167873,0.8795180722891566
7,8,0.3591533639168335,0.844017094017094,0.2697694510886311,0.891566265060241
8,9,0.4041620869252641,0.8408119658119658,0.12405583834809789,0.9698795180722891
9,10,0.3115826792131036,0.8782051282051282,0.39630059462179346,0.8734939759036144
10,11,0.3360104905599255,0.8707264957264957,1.5534233690247603,0.43373493975903615
11,12,0.2835952751969887,0.8910256410256411,0.35267532286571807,0.8373493975903614
12,13,0.2961654937747171,0.8824786324786325,0.3988174830280393,0.8493975903614458
13,14,0.2969889019505452,0.8931623931623932,0.16529296668985077,0.9578313253012049
14,15,0.28502277089125017,0.8952991452991453,0.28110971585323513,0.9036144578313253
15,16,0.23680560196102676,0.905982905982906,0.13013137562497065,0.9578313253012049
16,17,0.21761558381682736,0.9188034188034188,2.18418418091681,0.463855421686747
17,18,0.22685948418358626,0.9027777777777778,0.10449264214838941,0.9578313253012049
18,19,0.29361227296797904,0.8824786324786325,0.23262563448581083,0.8975903614457831
19,20,0.2715774571238938,0.8942307692307693,0.08743332087932075,0.9578313253012049
20,21,0.18997099821976685,0.9177350427350427,0.06513974009270025,0.9759036144578314
21,22,0.21614617753331944,0.9198717948717948,1.9863098837117887,0.7048192771084337
22,23,0.19466673210263252,0.9241452991452992,0.05348784600047735,0.9759036144578314
23,24,0.1865166611969471,0.9305555555555556,0.031518421568277395,0.9939759036144579
24,25,0.18685567268501904,0.9305555555555556,0.11988603375656079,0.9759036144578314
25,26,0.20645578035106094,0.9123931623931624,0.08530473112995979,0.9698795180722891
26,27,0.212571528345599,0.9209401709401709,0.10804581497505197,0.9698795180722891
27,28,0.16624268201195588,0.9337606837606838,0.3223177433023537,0.8975903614457831
28,29,0.19386475272792375,0.9220085470085471,0.046826846386386616,0.9698795180722891
29,30,0.2255509451536809,0.9177350427350427,0.10985552899879979,0.963855421686747
30,31,0.16308771236405029,0.9348290598290598,0.09619895507776492,0.9578313253012049
31,32,0.17520570955476014,0.9337606837606838,0.038712792139591896,0.9879518072289156
32,33,0.145517741456249,0.9508547008547008,0.13839165178201968,0.9698795180722891
33,34,0.17641331047072248,0.9348290598290598,0.44906614941117706,0.8072289156626506
34,35,0.19357988064698242,0.9316239316239316,0.02834415621113779,0.9879518072289156
35,36,0.1544068093743112,0.9423076923076923,0.18885122917040517,0.9457831325301205
36,37,0.12270855936774258,0.9476495726495726,0.38649017549616393,0.8493975903614458
37,38,0.14057397300188065,0.9401709401709402,0.26916614641645437,0.9096385542168675
